idTipoEstablecimiento;anio;trimestre;poblacion;vihR_reactivas;vihR_noreactivas;vihC_positivas;vihC_negativas;siR_reactivas;siR_noreactivas;siC_positivas;siC_negativas
10;2016;4;MTS;1;192;NULL;NULL;0;0;NULL;NULL
10;2017;1;MTS;0;183;NULL;NULL;0;0;NULL;NULL
9;2016;3;MTS;0;50;NULL;NULL;1;49;NULL;NULL
54;2017;1;TRANS;0;0;NULL;NULL;0;0;NULL;NULL
31;2016;3;MTS;1;77;NULL;NULL;1;80;NULL;NULL
51;2016;4;MTS;0;8;NULL;NULL;0;8;NULL;NULL
48;2017;1;HSH;0;0;NULL;NULL;0;0;NULL;NULL
47;2016;4;HSH;0;0;NULL;NULL;0;0;NULL;NULL
48;2016;4;HSH;0;0;NULL;NULL;0;0;NULL;NULL
7;2016;4;HSH;3;93;NULL;NULL;4;66;NULL;NULL
20;2016;4;PV;15;1169;NULL;NULL;3;1166;NULL;NULL
15;2016;4;PV;0;1337;NULL;NULL;0;1337;NULL;NULL
24;2016;4;PV;16;2573;NULL;NULL;0;2573;NULL;NULL
11;2016;4;MTS;3;94;NULL;NULL;0;97;NULL;NULL
29;2016;4;PV;28;1354;NULL;NULL;0;0;NULL;NULL
51;2016;3;MTS;0;177;NULL;NULL;0;177;NULL;NULL
57;2017;2;MTS;1;33;NULL;NULL;0;0;NULL;NULL
25;2016;4;PV;13;714;NULL;NULL;16;714;NULL;NULL
52;2016;4;MTS;2;8;NULL;NULL;0;15;NULL;NULL
50;2016;4;MTS;3;192;NULL;NULL;2;193;NULL;NULL
24;2017;1;PV;56;118;NULL;NULL;0;118;NULL;NULL
54;2017;1;TRANS;0;0;NULL;NULL;0;0;NULL;NULL
33;2017;1;TRANS;0;3;NULL;NULL;0;3;NULL;NULL
33;2016;4;TRANS;1;300;NULL;NULL;1;300;NULL;NULL
55;2017;1;TRANS;0;0;NULL;NULL;0;0;NULL;NULL
23;2017;1;TRANS;0;0;NULL;NULL;0;0;NULL;NULL
20;2016;4;TRANS;27;67;NULL;NULL;1;117;NULL;NULL
20;2017;1;TRANS;34;186;NULL;NULL;1;134;NULL;NULL
47;2017;1;HSH;0;0;NULL;NULL;0;0;NULL;NULL
10;2017;1;TRANS;0;0;NULL;NULL;0;0;NULL;NULL
55;2016;4;TRANS;1;396;NULL;NULL;1;396;NULL;NULL
29;2017;1;PV;7;206;NULL;NULL;14;119;NULL;NULL
23;2016;4;TRANS;0;0;NULL;NULL;0;0;NULL;NULL
41;2017;2;TRANS;0;0;NULL;NULL;0;0;NULL;NULL
53;2016;4;MTS;0;50;NULL;NULL;0;74;NULL;NULL
20;2017;1;PV;20;1288;NULL;NULL;1;1288;NULL;NULL
15;2017;1;PV;0;654;NULL;NULL;0;654;NULL;NULL
